+====================+===================+=======================================================================================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                                                                                                   |
| clk_fpga_0         | clk_fpga_0        | design_1_i/LTC2324_sample_0/inst/ad7606_sample_v1_0_S00_AXI_inst/sample_inst/sample_len_d0_reg[19]/D                                                  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/LTC2324_sample_0/inst/ad7606_sample_v1_0_S00_AXI_inst/sample_inst/sample_len_d0_reg[23]/D                                                  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/LTC2324_sample_0/inst/ad7606_sample_v1_0_S00_AXI_inst/sample_inst/sample_len_d0_reg[15]/D                                                  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/LTC2324_sample_0/inst/ad7606_sample_v1_0_S00_AXI_inst/sample_inst/sample_len_d0_reg[22]/D                                                  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/LTC2324_sample_0/inst/ad7606_sample_v1_0_S00_AXI_inst/sample_inst/sample_len_d0_reg[14]/D                                                  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/LTC2324_sample_0/inst/ad7606_sample_v1_0_S00_AXI_inst/sample_inst/sample_len_d0_reg[0]/D                                                   |
| clk_fpga_0         | clk_fpga_0        | design_1_i/LTC2324_sample_0/inst/ad7606_sample_v1_0_S00_AXI_inst/sample_inst/sample_len_d0_reg[17]/D                                                  |
| clk_fpga_0         | clk_fpga_0        | design_1_i/LTC2324_sample_0/inst/ad7606_sample_v1_0_S00_AXI_inst/sample_inst/sample_len_d0_reg[1]/D                                                   |
| mmcm_clk_0_s       | mmcm_clk_0_s      | design_1_i/LTC2324_sample_0/inst/ad7606_sample_v1_0_S00_AXI_inst/st_clr_d0_reg/D                                                                      |
| clk_fpga_0         | clk_fpga_0        | design_1_i/LTC2324_sample_0/inst/ad7606_sample_v1_0_S00_AXI_inst/sample_inst/sample_len_d0_reg[5]/D                                                   |
| clk_fpga_0         | clk_fpga_0        | design_1_i/LTC2324_sample_0/inst/ad7606_sample_v1_0_S00_AXI_inst/sample_inst/sample_start_d0_reg/D                                                    |
+--------------------+-------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------+
